recruitType,year,ranking,name,school,committedTo,position,height,weight,stars,rating,city,stateProvince,country
HighSchool,2018,1,Trevor Lawrence,Cartersville,Clemson,PRO,78,208,5,0.9999,Cartersville,GA,
HighSchool,2018,2,Justin Fields,Harrison,Georgia,DUAL,75,221,5,0.9998,Kennesaw,GA,
HighSchool,2018,3,Xavier Thomas,IMG Academy,Clemson,SDE,75,260,5,0.9988,Bradenton,FL,
HighSchool,2018,4,Eyabi Anoma,St. Frances Academy,Alabama,WDE,77,235,5,0.9987,Baltimore,MD,
HighSchool,2018,5,Micah Parsons,Harrisburg,Penn State,WDE,75,235,5,0.9982,Harrisburg,PA,
HighSchool,2018,6,Patrick Surtain II,American Heritage,Alabama,CB,73.25,199,5,0.9973,Fort Lauderdale,FL,
HighSchool,2018,7,Nicholas Petit-Frere,Berkeley Prep,Ohio State,OT,78,272,5,0.9963,Tampa,FL,
HighSchool,2018,8,Justin Shorter,South Brunswick,Penn State,WR,76,213,5,0.9962,Monmouth Junction,NJ,
HighSchool,2018,9,Zamir White,Scotland County,Georgia,RB,73,210,5,0.9957,Laurinburg,NC,
HighSchool,2018,10,Jamaree Salyer,Pace Academy,Georgia,OG,76,342,5,0.9956,Atlanta,GA,
HighSchool,2018,11,Amon-Ra St. Brown,Mater Dei,USC,WR,71.5,191,5,0.9948,Anaheim,CA,
HighSchool,2018,12,Tyson Campbell,American Heritage,Georgia,CB,74.5,180,5,0.9944,Fort Lauderdale,FL,
HighSchool,2018,13,Terrace Marshall,Parkway,LSU,WR,74.5,192,5,0.993,Bossier City,LA,
HighSchool,2018,14,KJ Henry,West Forsyth,Clemson,WDE,77.5,235,5,0.9928,Clemmons,NC,
HighSchool,2018,15,Palaie Gaoteote IV,Bishop Gorman,USC,ILB,74,235,5,0.9926,Las Vegas,NV,
HighSchool,2018,16,JT Daniels,Mater Dei,USC,PRO,74,205,5,0.9919,Santa Ana,CA,
HighSchool,2018,17,Jackson Carman,Fairfield,Clemson,OT,78,330,5,0.9894,Fairfield,OH,
HighSchool,2018,18,Adam Anderson,Rome,Georgia,OLB,76,214,5,0.9889,Rome,GA,
HighSchool,2018,19,Caden Sterns,Steele,Texas,S,73,192,5,0.9886,Cibolo,TX,
HighSchool,2018,20,Taron Vincent,IMG Academy,Ohio State,DT,74,285,5,0.9884,Bradenton,FL,
HighSchool,2018,21,Tyreke Johnson,Trinity Christian Academy,Ohio State,S,73,191,5,0.9876,Jacksonville,FL,
HighSchool,2018,22,Cade Mays,Knoxville Catholic,Georgia,OT,78,318,5,0.9869,Knoxville,TN,
HighSchool,2018,23,Brenton Cox,Stockbridge,Georgia,SDE,76.5,247,5,0.9867,Stockbridge,GA,
HighSchool,2018,24,B.J. Foster,Angleton,Texas,S,73,188,5,0.9865,Angleton,TX,
HighSchool,2018,25,Lorenzo Lingard,University,Miami,RB,72,190,5,0.9861,Orange City,FL,
HighSchool,2018,26,Derion Kendrick,South Pointe,Clemson,WR,73,184,5,0.9855,Rock Hill,SC,
HighSchool,2018,27,Ricky Slade,C. D. Hylton,Penn State,APB,69,185,5,0.9853,Woodbridge,VA,
HighSchool,2018,28,Olaijah Griffin,Mission Viejo,USC,CB,72,170,5,0.9849,Mission Viejo,CA,
HighSchool,2018,29,Brey Walker,Westmoore,Oklahoma,OT,79,320,5,0.9836,Moore,OK,
HighSchool,2018,30,Jaelen Gill,Westerville South,Ohio State,APB,73,182,4,0.9831,Westerville,OH,
HighSchool,2018,31,Quay Walker,Crisp County,Georgia,OLB,76,236,4,0.983,Cordele,GA,
HighSchool,2018,32,Isaac Taylor-Stuart,Helix,USC,CB,74,187,4,0.9827,San Diego,CA,
HighSchool,2018,33,Brevin Jordan,Bishop Gorman,Miami,TE,75,250,4,0.982,Las Vegas,NV,
HighSchool,2018,34,Tyreke Smith,Cleveland Heights,Ohio State,WDE,75,260,4,0.9816,Cleveland,OH,
HighSchool,2018,35,Jaiden Woodbey,St. John Bosco,Florida State,S,74,204,4,0.9814,Fontana,CA,
HighSchool,2018,36,Dorian Thompson-Robinson,Bishop Gorman,UCLA,DUAL,73.5,195,4,0.9813,Las Vegas,NV,
HighSchool,2018,37,Jeremy Ruckert,Lindenhurst,Ohio State,TE,77.5,238,4,0.981,Lindenhurst,NY,
HighSchool,2018,38,Brendan Radley-Hiles,IMG Academy,Oklahoma,CB,70,183,4,0.9807,Bradenton,FL,
HighSchool,2018,39,Jaylen Waddle,Episcopal,Alabama,WR,69.5,175,4,0.9791,Bellaire,TX,
HighSchool,2018,40,Devon Williams,Antelope Valley,USC,WR,76,200,4,0.9791,Lancaster,CA,
HighSchool,2018,41,James Cook,Northwestern,Georgia,APB,71.5,181,4,0.9786,Miami,FL,
HighSchool,2018,42,Kelvin Joseph,Scotlandville Magnet,LSU,S,73.5,191,4,0.9784,Baton Rouge,LA,
HighSchool,2018,43,Justin Rogers,Parkway,TCU,DUAL,76,210,4,0.9772,Bossier City,LA,
HighSchool,2018,44,Teradja Mitchell,Bishop Sullivan Catholic,Ohio State,ILB,74,232,4,0.9771,Virginia Beach,VA,
HighSchool,2018,45,Justyn Ross,Central,Clemson,WR,76,201,4,0.9765,Phenix City,AL,
HighSchool,2018,46,Tanner McKee,Centennial,Stanford,PRO,78,220,4,0.9764,Corona,CA,
HighSchool,2018,47,Jalen Green,Heights,Texas,CB,72,171,4,0.9762,Houston,TX,
